Cause_of_death;;Type_Disease;Rate_per_100K
Ovary cancer;;Non Communicable Disease;3.57
Pancreas cancer;;Non Communicable Disease;2.12
Pancreatitis;;Non Communicable Disease;1.36
Paralytic ileus and intestinal obstruction;;Non Communicable Disease;5.29
Parkinson disease;;Non Communicable Disease;3.11
Peptic ulcer disease;;Non Communicable Disease;0.18
Poisonings;;Non Communicable Disease;0.23
Preterm birth complications;;Non Communicable Disease;8.09
Prostate cancer;;Non Communicable Disease;1.77
Protein-energy malnutrition;;Non Communicable Disease;6.53
Rabies;;Non Communicable Disease;0.15
Rheumatic heart disease;;Non Communicable Disease;0.99
Rheumatoid arthritis;;Non Communicable Disease;0.08
Road injury;;Non Communicable Disease;11.31
Schistosomiasis;;Communicable Disease;0.0
Schizophrenia;;Non Communicable Disease;0.0
Self-harm;;Non Communicable Disease;1.21
Sickle cell disorders and trait;;Non Communicable Disease;0.0
Skin diseases;;Non Communicable Disease;1.47
Stomach cancer;;Non Communicable Disease;1.17
Stroke;;Non Communicable Disease;140.8
Sudden infant death syndrome;;Non Communicable Disease;0.4
Syphilis;;Communicable Disease;0.71
Testicular cancer;;Non Communicable Disease;0.13
Tetanus;;Communicable Disease;0.57
Thalassaemias;;Non Communicable Disease;0.36
Thyroid cancer;;Non Communicable Disease;0.83
Trachoma;;Communicable Disease;0.0
Trichomoniasis;;Communicable Disease;0.0
Trichuriasis;;Communicable Disease;0.0
Tuberculosis;;Communicable Disease;48.94
Uncorrected refractive errors;;Non Communicable Disease;0.0
Upper respiratory infections;;Communicable Disease;0.02
Urolithiasis;;Non Communicable Disease;0.2
Vitamin A deficiency;;Non Communicable Disease;0.0
Whooping cough;;Communicable Disease;0.05
Yellow fever;;Communicable Disease;0.0
